Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Total clicks,Other Clicks,Link Clicks,Matched Audience Targeting Consumption (Photo Click),Approximate content monetization earnings,Negative feedback from users: Hide all,Ad CPM (USD),Ad impressions
1.22115E+17,6.15856E+13,JuanKada Star,Live until 10pm 😊 Arat na star babies ✨️💫⭐️,,0,2/15/2026 2:21,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0x5tw7ZD4AX6bBfBmQahqu69U2LKinSgEjYF1tH7DQYo515YrJX6BgzJvE8jE9nWTl,0,1,Photos,,,,,Lifetime,167,72,9,8,1,0,,,,12,8,,4,0,,,
1.22115E+17,6.15856E+13,JuanKada Star,Ek ek ek 😆🤣,,0,2/15/2026 2:18,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02iQGLoYegGYkwnCGTz95A1ACjNiT2GDQhpRQCC3MyFLHpNJYpSN8G7ZAGxEsn9hF5l,0,1,Text,,,,,Lifetime,37,38,9,7,2,0,,,,3,3,,,0,,,
1.22115E+17,6.15856E+13,JuanKada Star,"Roses for you 🌹🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,2/14/2026 20:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02bg4J3QywCtZp7AzurQFn9uHdeT3Q3gEQEcbHL8M2LpaPHXu4aBE96kUL6D7NnB8Kl,0,0,Photos,,,,,Lifetime,326,144,26,16,6,4,,,,12,6,,6,0,,,
1.22114E+17,6.15856E+13,JuanKada Star,Relapsed muna 😂,"Princess na sana nabroken pa bigla… 🙂‍↕️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsvideo",14,2/14/2026 5:25,N/A,https://www.facebook.com/reel/881512698035664/,1,0,Videos,,,,,Lifetime,1389,192,40,28,10,2,1794.969,4.126,0,10,10,,,0,,0,0
1.22114E+17,6.15856E+13,JuanKada Star,"Serving looks and love this Valentine’s 💘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",,0,2/14/2026 4:37,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02PLd1rW5Fckt1ntHhhpcNzDg2j9YynkNE7gbz8MmfQbwDHunj8PUX7Rj7NBRX1q1Jl,0,0,Photos,,,,,Lifetime,475,214,20,13,4,3,,,,31,12,,19,0,,,
1.22114E+17,6.15856E+13,JuanKada Star,"Happy Valentines Day, Star Babies! 🫶🏻 Flowers for you 💐🌷❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights","Happy Valentines Day, Star Babies! 🫶🏻 Flowers for you 💐🌷❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",14,2/13/2026 20:00,N/A,https://www.facebook.com/reel/2472673936481932/,1,0,Videos,,,,,Lifetime,2066,118,29,16,9,4,839.894,1.596,0,11,11,,,0,,0,0
1.22114E+17,6.15856E+13,JuanKada Star,Sumama kana! 🫶🏻,"Tara na, Star babies! 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",20,2/13/2026 5:02,N/A,https://www.facebook.com/reel/2131723634228194/,1,0,Videos,,,,,Lifetime,1376,262,46,35,7,4,2361.64,4.77,0,22,22,,,0,,0,0
1.22114E+17,6.15856E+13,JuanKada Star,😘,"Sinong gusto ng kiss ko dyan? 🥰😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #higlights #fbreelsvideo",9,2/13/2026 3:00,N/A,https://www.facebook.com/reel/1880794679209275/,1,0,Videos,,,,,Lifetime,1156,89,19,14,3,2,721.5,2.319,0,7,7,,,0,,0,0
1.22114E+17,6.15856E+13,JuanKada Star,"Serving looks in red ❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",,0,2/12/2026 20:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02gkNvhbzZACXFVSfBi8AGyEJmpTAoj2HE3kkXF3XgCBkY86bxe5YRyFD1ruuNpjqFl,0,0,Photos,,,,,Lifetime,1510,676,75,59,10,6,,,,153,40,,113,0,,,
1.22114E+17,6.15856E+13,JuanKada Star,Arat na star babies until 2pm ⭐️,,0,2/12/2026 18:22,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02wa5chmdKSw6VTS1AFJ6CxjLKZZWw5NnQ5CzSNFxEyVvbVY2xofA1zYi7Drboq15dl,0,1,Photos,,,,,Lifetime,165,70,11,10,1,0,,,,7,2,,5,0,,,
