Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all
1.22111E+17,6.15856E+13,JuanKada Star,February na agad ❤️,,0,1/31/2026 7:27,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02JAJ6t77RxTLKZdyUvkY373zif1ijFX2Cu8NbzYVCCPsC4R7Y9vqZd1u7E2HBcZAhl,0,1,Text,,,,,Lifetime,62,65,4,4,0,0,2,2,,,0,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,Let's go star babies! 😍❤️,,0,1/31/2026 15:43,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0YZKNiAMVYamViu2NkDDpTQYSvZK34nLgZadU6CSv745gLdiMYCcH3iALuS1NYw1Ul,0,1,Text,,,,,Lifetime,52,59,7,6,1,0,3,3,,,0,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,"It’s officially the month of love, Starbabies! 🩷

Ready na ba kayo sa kilig at swerte? Watch me lang palagi Color Game LIVE! See you there!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #fypviralシ #highlights",,0,1/31/2026 17:09,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0zAMceobmg7aaAayKw4cxPQuVRKYPcfPtmE29KA2Z7vM25ww4NEciMpX7iufkn3ZKl,0,0,Photos,,,,,Lifetime,767,286,34,26,3,5,46,18,28,,0,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,Winning feels brighter with STAR ✨💫⭐️,,0,1/31/2026 19:09,N/A,https://www.facebook.com/photo.php?fbid=122111566017185509&set=a.122098993131185509&type=3,0,0,Photos,,,,,Lifetime,266,123,304,298,2,4,10,8,2,,0,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies,,0,1/31/2026 19:11,N/A,https://www.facebook.com/photo.php?fbid=122111567013185509&set=a.122101646277185509&type=3,0,0,Photos,,,,,Lifetime,1,1,291,286,1,4,0,,,,0,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,"With your Juankada Hosts! 🫶🏻

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,2/1/2026 3:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0mHU95zcCPjAgxT1CftQRDoHjwxPjn5ZfQ1GaU7HCDjMHwddSLRRw5raw8ZtH41eSl,0,0,Photos,,,,,Lifetime,2146,1098,26,21,0,5,162,43,119,,0,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,💜,"Why’re you so obsessed with me? 😌

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #fypシ゚viralシ #highlights #reelschallenge",36,2/1/2026 19:29,N/A,https://www.facebook.com/reel/1661842341895020/,0,0,Videos,,,,,Lifetime,1399,338,301,293,2,6,16,16,,,0,2202.484,3.997,0,0,0,
1.22112E+17,6.15856E+13,JuanKada Star,"Always shining and smiling ✨

How’s your day, Star Babies? Heart this if you’re feeling the good vibes today 💫

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlight #fypviralシ #reelsfypシ","Always shining and smiling ✨

How’s your day, Star Babies? Heart this if you’re feeling the good vibes today 💫

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlight #fypviralシ #reelsfypシ",25,2/2/2026 6:51,N/A,https://www.facebook.com/reel/1133130572125904/,0,0,Videos,,,,,Lifetime,2380,255,300,293,3,4,8,8,,,0,2471.225,3.451,0,0,0,
1.22112E+17,6.15856E+13,JuanKada Star,"What’s going on, Star Babies? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies","What’s going on, Star Babies? 🤭

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",24,2/2/2026 20:07,N/A,https://www.facebook.com/reel/1585346642783747/,1,0,Videos,,,,,Lifetime,1849,627,33,22,5,6,28,28,,,0,6371.015,7.11,0,0,0,
1.22112E+17,6.15856E+13,JuanKada Star,"Quick break between busy days with Direc Prey and Jhay, HMUA Yuki and Juankada Hosy Jedi ❤️✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies","Quick break between busy days with Direc Prey and Jhay, HMUA Yuki and Juankada Hosy Jedi ❤️✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",37,2/3/2026 5:00,N/A,https://www.facebook.com/reel/1226469715674247/,1,0,Videos,,,,,Lifetime,1235,121,293,284,3,6,3,3,,,0,1047.526,2.713,0,0,0,
