Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Matched Audience Targeting Consumption (Video Click)
1.18639E+15,1.00069E+14,Juankada Zia,"Uy Zianatics! 💖

Pinalaki din ba kayo ng Sexbomb Girlies? 🤭

Share niyo naman ang core memory niyo ng Sexbomb!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics #Sexbomb","Uy Zianatics! 💖

Pinalaki din ba kayo ng Sexbomb Girlies? 🤭

Share niyo naman ang core memory niyo ng Sexbomb!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics #Sexbomb",21,1/20/2026 21:00,N/A,https://www.facebook.com/reel/2260202431153196/,0,0,Videos,,,,,Lifetime,370,115,30,24,5,1,8,8,,,0,2515.435,9.316,0,0,0,,
1.18627E+15,1.00069E+14,Juankada Zia,,,0,1/20/2026 16:01,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02nLWh8BVFCihQeaxSyR7mBQm5hYguf9GpR8ub5Z9CGkLWaQFjrktiuYm9aTf434KEl&id=100068698221421,0,1,Text,,,,,Lifetime,71,55,4,4,0,0,5,5,,,0,,,,,,,
1.18591E+15,1.00069E+14,Juankada Zia,,,0,1/20/2026 4:54,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0fmb7NVsWUy1tYL5MSrsP2gWFPHyRRSts8cmaVgxzZcjUvDvmPpHYETruQvYG5rZtl&id=100068698221421,0,1,Photos,,,,,Lifetime,130,59,3,3,0,0,4,1,3,,0,,,,,,,
1.18591E+15,1.00069E+14,Juankada Zia,,,0,1/20/2026 4:53,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid02oczdddreC4SXZtSmksCxxP5ohgnEP755vFetV9xXtzxUkV8GTLLz4Xd1ro9WyeeUl&id=100068698221421,0,1,Photos,,,,,Lifetime,94,52,1,1,0,0,6,2,1,3,0,,,,,,,
1.18591E+15,1.00069E+14,Juankada Zia,,,0,1/20/2026 4:53,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0MkLdyzwetxjqZ6JtjKfjDgsUyBrs3CKiKF5nLqkZ5zRFYMZpZ1wxhxKj5LQ6FAqPl&id=100068698221421,0,1,Text,,,,,Lifetime,63,54,6,5,1,0,11,11,,,0,,,,,,,
1.18591E+15,1.00069E+14,Juankada Zia,,,0,1/20/2026 4:50,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0BY6KbhNkWRYcxCt6y3DNk8wMWVvJyR2S2WXsgvXqbp9PB7JPNc8R9wE9mLn3a4xxl&id=100068698221421,0,1,Photos,,,,,Lifetime,60,38,4,2,1,1,1,1,,,0,,,,,,,
1.18554E+15,1.00069E+14,Juankada Zia,"💖Hello Zianatics!💖

Our look from the other day's live 

Love the look 😘 Agree din ba kayo?

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",,0,1/19/2026 21:00,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid0ZnX6Fexqxwq2H5y2jq8cs6zTdDHTcgMWYbfHNN3s9LMLNnfoJXLSKbPB32AfZt8el&id=100068698221421,0,0,Photos,,,,,Lifetime,1009,445,39,29,8,2,103,55,48,,0,,,,,,,
1.18554E+15,1.00069E+14,Juankada Zia,"💖Hi Zianatics!💖

A small look back at our hosting from the other day! 😘

Stay pretty, sexy, and lucky, Zianatics!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","💖Hi Zianatics!💖

A small look back at our hosting from the other day! 😘

Stay pretty, sexy, and lucky, Zianatics!

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",32,1/19/2026 19:06,N/A,https://www.facebook.com/reel/1549392282952809/,0,0,Videos,,,,,Lifetime,1475,313,103,90,9,4,20,20,,,0,15576.156,13.711,0,0,0,,
1.18502E+15,1.00069E+14,Juankada Zia,"Araw-gabi nasa isip ka! 🌝🌚

Zianatics, na-LSS din ba kayo dito? 🤭

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Araw-gabi nasa isip ka! 🌝🌚

Zianatics, na-LSS din ba kayo dito? 🤭

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",13,1/19/2026 5:00,N/A,https://www.facebook.com/reel/1185618493556527/,0,0,Videos,,,,,Lifetime,542,291,22,17,4,1,8,8,,,0,2408.981,5.615,0,0,0,,
1.18501E+15,1.00069E+14,Juankada Zia,"Isang araw, nagmamaneho sa Cubao! 🚗

BEEP BEEP BEEP! May isang babaeng saksakan ng ganda! 👀

Sino kaya yun? 🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics","Isang araw, nagmamaneho sa Cubao! 🚗

BEEP BEEP BEEP! May isang babaeng saksakan ng ganda! 👀

Sino kaya yun? 🤔

#Juan365Studios #Juan365 #ALLINJUANSASAYA #JuankadaHosts #JuankadaZia #Zianatics",15,1/19/2026 2:00,N/A,https://www.facebook.com/reel/858347197178310/,0,0,Videos,,,,,Lifetime,283,126,14,11,2,1,7,7,,,0,1416.801,6.41,0,0,0,,
1.185E+15,1.00069E+14,Juankada Zia,,,0,1/19/2026 0:19,N/A,https://www.facebook.com/permalink.php?story_fbid=pfbid031G2DK6EWbustBNHBcHaWBnJkiVuDP5Hn6JkfFyyEL1MBVmuedgcZSrMsb5QYJtunl&id=100068698221421,0,1,Text,,,,,Lifetime,77,77,5,4,1,0,4,4,,,0,,,,,,,
