Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Link Clicks,Negative feedback from users: Hide all,Negative feedback from users: Hide
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,1/31/2026 22:41,N/A,https://www.facebook.com/photo.php?fbid=122187456146383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,1,1,14,12,2,0,0,,,0,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,Lets continue the goodvibes kikays.❤️,,0,1/31/2026 22:38,N/A,https://www.facebook.com/photo.php?fbid=122187455960383179&set=a.122102184470383179&type=3,0,0,Photos,,,,,Lifetime,302,153,16,15,1,0,10,1,9,0,,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay's Video,,11,1/31/2026 3:06,N/A,https://www.facebook.com/reel/1440787857457409/,1,0,Videos,,,,,Lifetime,1552,803,77,71,2,4,19,,19,0,6455.765,5.309,0,0,0,,,
1.22111E+17,6.15856E+13,JuanKada Star,💜,,0,1/31/2026 0:05,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid024BxZeVBCerD7qthrHzVZM6Ao9VRpmpTpy2CNaQ4dZex5QJnmA9Xxm5kcke6onzibl,0,1,Photos,,,,,Lifetime,190,81,10,8,1,1,13,10,3,0,,,,,,,,
1.22111E+17,6.15856E+13,JuanKada Star,Star babies samahan niyo kami until 10pm 🫰🫶☺️,,0,1/31/2026 2:02,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02grPWEdcxwGqD3v8JPWCBxiKEBZNhYa48XozEsUxPdF4ZKps5zQbdYJ1KxtE8PFzjl,0,1,Text,,,,,Lifetime,102,86,5,5,0,0,15,,15,0,,,,,,,,
1.22111E+17,6.15856E+13,JuanKada Star,Quick Escape 🫶🏻,"Wag kalimutang mag take ng break, Star Babies!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #fypviralシ #reelsfypシ #highlightsシ゚ #followersreels",11,1/31/2026 4:27,N/A,https://www.facebook.com/reel/4266532373625883/,0,0,Videos,,,,,Lifetime,1367,242,294,288,1,5,15,,15,0,1524.898,3.293,0,0,0,,,
1.22111E+17,6.15856E+13,JuanKada Star,Join now Star babies 🫶,,0,1/31/2026 4:35,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid024nUDUzxBhUz5G6AA7F61jehRWwugCtHsmGbSssFi3UnBHC25yhuP7jowUqC4wuXul,0,1,Photos,,,,,Lifetime,135,65,5,5,0,0,4,2,2,0,,,,,,,,
1.22111E+17,6.15856E+13,JuanKada Star,February na agad ❤️,,0,1/31/2026 7:27,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02Hoz6HpZxKU7WGGLjqYCgXeDBGX13gYoqmQk1ie2qLStZaQ6aRgFifkUCF7m92FDSl,0,1,Text,,,,,Lifetime,63,66,4,4,0,0,2,,2,0,,,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,Let's go star babies! 😍❤️,,0,1/31/2026 15:43,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0YgxtgXPDj6Uje5sP4mnNYjw6oiBecbAkkx81r9UkMrBmJAvX8KCf5XCF333xqAzSl,0,1,Text,,,,,Lifetime,53,60,7,6,1,0,3,,3,0,,,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,"It’s officially the month of love, Starbabies! 🩷

Ready na ba kayo sa kilig at swerte? Watch me lang palagi Color Game LIVE! See you there!

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #fypviralシ #highlights",,0,1/31/2026 17:09,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid033fVKFBz7tLgcDketdtcvcVqApLX7C8j44PcBiU7E2S58diNdPoijTzHg9R8Qqys7l,0,0,Photos,,,,,Lifetime,776,287,34,26,3,5,46,28,18,0,,,,,,,,
1.22112E+17,6.15856E+13,JuanKada Star,Winning feels brighter with STAR ✨💫⭐️,,0,1/31/2026 19:09,N/A,https://www.facebook.com/photo.php?fbid=122111566017185509&set=a.122098993131185509&type=3,0,0,Photos,,,,,Lifetime,268,123,304,298,2,4,10,2,8,0,,,,,,,,
