Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks
1.22187E+17,6.15615E+13,JUANKada Host Ikay,"I got you, babe 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I got you, babe 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/1/2026 3:07,N/A,https://www.facebook.com/reel/2137974016608757/,0,0,Videos,,,,,Lifetime,1015,454,79,73,4,2,27,,27,0,6312.586,7.841,0,0,0,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,❤️,,0,1/31/2026 22:43,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid02nxmnpsu2TcJgFXSyiSMQBHoQJNWJGjLgZNSKbNwkkz8tRmtqWebbpnZ6xJR9sPTQl,0,1,Photos,,,,,Lifetime,331,153,7,7,0,0,8,5,3,0,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,JUANKada Host Ikay updated their cover photo.,,0,1/31/2026 22:41,N/A,https://www.facebook.com/photo.php?fbid=122187456146383179&set=a.122140909430383179&type=3,0,0,Photos,,,,,Lifetime,1,1,14,12,2,0,0,,,0,,,,,,,
1.22187E+17,6.15615E+13,JUANKada Host Ikay,Lets continue the goodvibes kikays.❤️,,0,1/31/2026 22:38,N/A,https://www.facebook.com/photo.php?fbid=122187455960383179&set=a.122102184470383179&type=3,0,0,Photos,,,,,Lifetime,301,153,15,14,1,0,10,1,9,0,,,,,,,
1.22111E+17,6.15856E+13,JuanKada Star,"Slayin’ in Purple 💜

Don’t miss it, watch me 𝐋𝐈𝐕𝐄 𝐍𝐎𝐖 sa 𝐂𝐨𝐥𝐨𝐫 𝐆𝐚𝐦𝐞! 👀

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,1/31/2026 0:04,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02EB6dV4LYbqsvapXFg1KNTW9Bfua9NXwxM7qzP9DWJPxNQP4Er4ooHFwMBoPauZgnl,0,0,Photos,,,,,Lifetime,2387,1124,60,48,6,6,172,131,41,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,❤️,,0,2/17/2026 21:38,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02ToLn2KxeSjnZG2fGLkNimPr6BQka29cLsuHC4rQr4JjwMgS3dnuQDeEnrwWnRJyFl,0,1,Videos,,,,,Lifetime,63,53,14,10,4,0,13,,13,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,"Feeling extra sexy in red ❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,2/17/2026 20:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02TXcgLNvCbYaUqznmWE8iRYdQbNYvmLcnhcUS24gT22AeJkB6QYhjquwodLbH3cTGl,0,0,Photos,,,,,Lifetime,397,203,19,10,5,4,35,21,14,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,Diyosa ✨,"Ang diyosa ng buhay niyo ❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",13,2/17/2026 5:00,N/A,https://www.facebook.com/reel/1977460549859444/,1,0,Videos,,,,,Lifetime,1150,110,25,16,5,4,9,,9,0,824.272,2.536,0,0,0,,
1.22115E+17,6.15856E+13,JuanKada Star,🥰 🥰,"Nanggigigil at kinikilig rin ba kayo sa ganda ko, Star Babies? 💋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsvideo",28,2/17/2026 3:00,N/A,https://www.facebook.com/reel/3355562411268531/,1,0,Videos,,,,,Lifetime,1199,135,28,20,8,0,11,,11,0,1207.3,3.298,0,0,0,,
1.22115E+17,6.15856E+13,JuanKada Star,"Gong Xi Fa Cai! 🏮

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,2/16/2026 20:01,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0hYFRFeoN2TteMVQubyVuduQU12JPmYAQa1UY87V5KmdEnSkdwymp7oiWXtN9Edbcl,0,0,Photos,,,,,Lifetime,521,294,22,16,1,5,31,22,9,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,"Kamusta naman ang gabi niyo, Star Babies? Sana masaya at chill lang tayo tonight 💖

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,2/16/2026 5:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0w6LtgTP8S4xS68Q4PKXadfpXiQR5bHTacSgCsrUN6C2Kw7yJQhx36uxfBt6wBLpsl,0,0,Photos,,,,,Lifetime,210,95,17,11,3,3,9,6,3,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,Kasalanan 🤭,"Willing ka bang maging kasalanan ako? 🤪

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreels",8,2/16/2026 3:00,N/A,https://www.facebook.com/reel/912997207999238/,1,0,Videos,,,,,Lifetime,1520,119,38,26,6,6,8,,8,0,2235.95,4.226,0,0,0,,
1.22115E+17,6.15856E+13,JuanKada Star,❤️‍🔥,"Pwede bang sa akin lang kayo maaakit, Star Babies? 🥹

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreels",16,2/15/2026 20:00,N/A,https://www.facebook.com/reel/2125198938251213/,1,0,Videos,,,,,Lifetime,1182,197,33,22,6,5,15,,15,0,1584.877,3.846,0,0,0,,
1.22115E+17,6.15856E+13,JuanKada Star,❤️,"Put me in Chanel 💍

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights",17,2/15/2026 5:01,N/A,https://www.facebook.com/reel/1623586882315313/,1,0,Videos,,,,,Lifetime,1165,97,20,10,5,5,12,,12,0,950.172,2.969,0,0,0,,
1.22115E+17,6.15856E+13,JuanKada Star,Closer,"Ain't never getting older 😍

Tiktok break muna with Juankada Host Zia ❤️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",18,2/15/2026 3:00,N/A,https://www.facebook.com/reel/2106216640130912/,1,0,Videos,,,,,Lifetime,1647,569,28,21,7,0,25,,25,0,3148.001,4.115,0,0,0,,
1.22115E+17,6.15856E+13,JuanKada Star,Walang reaksyon ganto naba pag wala ng kinakatakutan? ✌️😆🤣,,0,2/15/2026 2:21,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0CxYnE83CTzEH9Ag5ap4kp19q8S1cVZoFite9mEYRhmELwtx6tAyJRReNnqahUTW9l,0,1,Videos,,,,,Lifetime,81,71,10,8,2,0,4,,4,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,Live until 10pm 😊 Arat na star babies ✨️💫⭐️,,0,2/15/2026 2:21,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid0xPhTP4WXAYp1nf9WGFuk53FnKxPnQryByWdGHdqc4srwpZ8ugYWSvAwhPsWMFZMcl,0,1,Photos,,,,,Lifetime,185,81,9,8,1,0,12,4,8,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,Ek ek ek 😆🤣,,0,2/15/2026 2:18,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02ii4s53x9Gm1CJREAMUsiWn8tCffqBir8Yb8qX8ySn5gsZofmxgZUNiV21fjHuCA4l,0,1,Text,,,,,Lifetime,45,46,9,7,2,0,3,,3,0,,,,,,,
1.22115E+17,6.15856E+13,JuanKada Star,"Roses for you 🌹🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies",,0,2/14/2026 20:00,N/A,https://www.facebook.com/JuanKadaStarOfficialPage/posts/pfbid02byrpJvHQD7zo3EwtCTY1c4ZscrnsXMDqmLxgDZjAwjqjWYkzFRCmH7jLSJLjovdel,0,0,Photos,,,,,Lifetime,340,154,26,16,6,4,12,6,6,0,,,,,,,
1.22114E+17,6.15856E+13,JuanKada Star,Relapsed muna 😂,"Princess na sana nabroken pa bigla… 🙂‍↕️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaStar #StarBabies #highlights #fbreelsvideo",14,2/14/2026 5:25,N/A,https://www.facebook.com/reel/881512698035664/,1,0,Videos,,,,,Lifetime,1403,200,41,29,10,2,10,,10,0,1857.951,4.165,0,0,0,,
