Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks,Negative feedback from users: Hide
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Lets take it slowly 🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Lets take it slowly 🫣

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/8/2026 3:06,N/A,https://www.facebook.com/reel/2151363275641560/,0,0,Videos,,,,,Lifetime,763,307,55,52,2,1,17,,17,0,3796.757,6.045,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"LF kasama sa beach 🥺

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","LF kasama sa beach 🥺

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",18,2/7/2026 19:00,N/A,https://www.facebook.com/reel/2219405752129641/,1,0,Videos,,,,,Lifetime,730,330,53,50,2,1,29,,29,0,4184.343,7.104,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Can you be my big guy?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Can you be my big guy?

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",12,2/7/2026 2:33,uploaded,https://www.facebook.com/reel/3235295393317978/,0,0,Videos,,,,,Lifetime,1911,513,95,83,6,6,136,,136,0,12376.895,10.471,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"I-heart niyo ’to kung gusto niyo akong humarap 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I-heart niyo ’to kung gusto niyo akong humarap 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",20,2/6/2026 19:01,N/A,https://www.facebook.com/reel/1469733324493375/,1,0,Videos,,,,,Lifetime,1498,460,80,71,7,2,67,,67,0,11677.349,11.239,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Twinning with Juankada Host Sabbie! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Twinning with Juankada Host Sabbie! 🩷

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/6/2026 2:39,N/A,https://www.facebook.com/reel/763771716307540/,0,0,Videos,,,,,Lifetime,809,539,36,32,4,0,27,,27,0,5763.545,9.801,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Take me on a date? 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Take me on a date? 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",13,2/5/2026 19:00,N/A,https://www.facebook.com/reel/3980741358884919/,1,0,Videos,,,,,Lifetime,1198,620,55,50,4,1,36,,36,0,7315.219,7.959,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Soft girl vibes lang 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Soft girl vibes lang 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/5/2026 2:01,N/A,https://www.facebook.com/reel/2665778017128713/,1,0,Videos,,,,,Lifetime,695,280,48,43,4,1,14,,14,0,4651.822,8.277,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Let’s take it slowly 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Let’s take it slowly 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/4/2026 19:00,N/A,https://www.facebook.com/reel/1691724915125863/,1,0,Videos,,,,,Lifetime,1060,595,62,52,8,2,41,,41,0,5722.491,6.692,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Bagay ba tayo? 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Bagay ba tayo? 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/4/2026 2:31,N/A,https://www.facebook.com/reel/852529014448826/,0,0,Videos,,,,,Lifetime,1920,1177,95,86,6,3,39,,39,0,12731.397,8.052,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Baby come over 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby come over 🫦

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/3/2026 21:20,N/A,https://www.facebook.com/reel/1802309527122874/,0,0,Videos,,,,,Lifetime,693,312,62,50,10,2,26,,26,0,3786.961,6.86,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"Comment 🤍 kung napanood moto

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Comment 🤍 kung napanood moto

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",13,2/3/2026 3:16,N/A,https://www.facebook.com/reel/1548386326395651/,0,0,Videos,,,,,Lifetime,1689,417,115,98,11,6,81,,81,0,10001.58,8.468,0,0,0,,,
1.22188E+17,6.15615E+13,JUANKada Host Ikay,"I wanna… LOVE YOU! 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I wanna… LOVE YOU! 😋

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",18,2/2/2026 3:42,N/A,https://www.facebook.com/reel/894506406528525/,0,0,Videos,,,,,Lifetime,1103,400,90,80,6,4,36,,36,0,6393.737,7.451,0,0,0,,,
