Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide all,Link Clicks
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Konnichiwa 🇯🇵 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Konnichiwa 🇯🇵 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/22/2026 20:04,N/A,https://www.facebook.com/reel/908601528595691/,0,0,Videos,,,,,Lifetime,704,233,53,47,4,2,29,29,,3154.38,5.602,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"please me, baby? 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","please me, baby? 😘

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/22/2026 3:26,N/A,https://www.facebook.com/reel/1394416798616266/,0,0,Videos,,,,,Lifetime,886,277,59,53,4,2,25,25,,4418.122,6.384,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"All summer, gonna spend it like no other ☀️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","All summer, gonna spend it like no other ☀️

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/21/2026 20:37,N/A,https://www.facebook.com/reel/1439169131270664/,0,0,Videos,,,,,Lifetime,960,285,50,40,8,2,28,28,,7317.762,9.744,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"🩵

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","🩵

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/21/2026 3:32,N/A,https://www.facebook.com/reel/1483193833376959/,0,0,Videos,,,,,Lifetime,2488,600,120,108,11,1,72,72,,17683.068,10.519,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,,,0,2/20/2026 22:22,N/A,https://www.facebook.com/JUANKadaHostIkayOfficialPage/posts/pfbid0Jp6gTvBEq9oxaS6MFpNV5Nf3wiMJqBqAHUZ5eyuwsCuZcM2PbXLaz4jW5o33WYxol,0,1,Photos,,,,,Lifetime,188,91,6,6,0,0,4,,,,,,,,,4
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Nag sstart sa letter K... 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Nag sstart sa letter K... 🥰

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/20/2026 20:29,mixed,https://www.facebook.com/reel/1690520241914682/,0,0,Videos,,,,,Lifetime,415,229,25,22,3,0,19,19,,2372.952,8.154,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"I wanna....LOVE you 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","I wanna....LOVE you 😉

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/20/2026 3:28,N/A,https://www.facebook.com/reel/1391554988929021/,0,0,Videos,,,,,Lifetime,346,221,24,22,2,0,14,14,,1916.441,7.399,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Weekend glow check! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Weekend glow check! ✨

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/19/2026 20:59,N/A,https://www.facebook.com/reel/2425471471246301/,0,0,Videos,,,,,Lifetime,563,337,39,37,2,0,40,40,,3558.082,8.72,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Baby do better, come let me get you together 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays","Baby do better, come let me get you together 🙈

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikays",15,2/19/2026 6:13,N/A,https://www.facebook.com/reel/1887147921926393/,0,0,Videos,,,,,Lifetime,700,228,49,41,6,2,26,26,,3467.425,6.18,0,0,0,,
1.22189E+17,6.15615E+13,JUANKada Host Ikay,"Okay lang bang maging binibini mo? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay","Okay lang bang maging binibini mo? 

#Juan365Studios #ALLINJUANLIVE #Juan365 #ColorGameLive #JuankadaIkay #Kikay",15,2/18/2026 19:55,N/A,https://www.facebook.com/reel/883562147816145/,0,0,Videos,,,,,Lifetime,1147,348,77,67,9,1,46,46,,7149.393,8.45,0,0,0,,
